Apple sitemap same-origin route inventory: 272 unique paths

001. /	Apple
002. /accessibility	Accessibility
003. /accessibility/assistive-technologies	Assistive Technologies
004. /airplay	AirPlay
005. /airpods	AirPods
006. /airpods-4	AirPods 4
007. /airpods-max	AirPods Max 2
008. /airpods-pro	AirPods Pro 3
009. /airpods-pro/hearing-health	Hearing Health
010. /airpods/compare	Compare AirPods
011. /airtag	AirTag
012. /app-store	App Store
013. /apple-arcade	Apple Arcade
014. /apple-books	Apple Books
015. /apple-card	Apple Card
016. /apple-cash	Apple Cash
017. /apple-creator-studio	Apple Creator Studio
018. /apple-events	Apple Events
019. /apple-fitness-plus	Apple Fitness+
020. /apple-intelligence	Apple Intelligence and Siri
021. /apple-music	Apple Music
022. /apple-news	Apple News+
023. /apple-one	Apple One
024. /apple-pay	Apple Pay
025. /apple-pencil	Apple Pencil
026. /apple-podcasts	Apple Podcasts
027. /apple-tv	Apple TV
028. /apple-tv-4k	Apple TV 4K
029. /apple-tv-app	Apple TV app
030. /apple-vision-pro	Vision
031. /apple-vision-pro/specs	Tech Specs
032. /apple-watch-for-your-kids	Apple Watch For Your Kids
033. /apple-watch-hermes	Apple Watch Hermès
034. /apple-watch-nike	Apple Watch Nike
035. /apple-watch-se-3	Apple Watch SE 3
036. /apple-watch-series-11	Apple Watch Series 11
037. /apple-watch-ultra-3	Apple Watch Ultra 3
038. /applecare	AppleCare
039. /apps	Apps by Apple
040. /augmented-reality	Augmented Reality
041. /batteries/maximizing-performance	Batteries
042. /business	Apple at Work
043. /business/enterprise/apple-vision-pro	Apple Vision Pro for Enterprise
044. /business/mac	Mac for Business
045. /careers/us	Career Opportunities
046. /choose-country-region	Choose Your Country or Region
047. /compliance	Ethics & Compliance
048. /contact	Contact Apple
049. /displays	Displays
050. /diversity	Inclusion and Diversity
051. /education	Education
052. /education-initiative	Education
053. /education/k12/how-to-buy	Shop for K-12
054. /education/k12/products	Mac in Education
055. /entertainment	Entertainment
056. /environment	Environment
057. /feedback	Product Feedback
